,Country,City name,Date,Lat,Lng,Clouds,Mean_T,Feels_like_T,Max_T,Min_T,Wind speed,Humidity,Pressure
0,ID,Banda Aceh,1586462632,5.56,95.32,85,299.81,303.29,299.81,299.81,1.79,76,1009
1,RU,Khatanga,1586462473,71.97,102.5,50,267.98,259.06,267.98,267.98,8.8,90,992
2,CL,Punta Arenas,1586462771,-53.15,-70.92,40,290.15,289.21,290.15,290.15,1,59,995
3,ZA,Hermanus,1586462771,-34.42,19.23,75,287.94,287.71,290.37,285.93,1.97,93,1011
4,MX,Ramos Arizpe,1586462521,25.55,-100.97,75,302.81,300.71,307.04,300.93,5.5,42,1020
5,PT,Ribeira Grande,1586462772,38.52,-28.7,20,290.15,291.06,290.15,290.15,1,88,1022
6,GB,Penzance,1586462772,50.12,-5.54,100,286.02,280.7,289.15,284.82,7.2,76,1021
7,NO,Mehamn,1586462772,71.04,27.85,100,268.86,261.06,268.86,268.86,7.35,92,1005
8,US,Albany,1586462772,42.6,-73.97,90,279.08,269.51,280.93,275.93,10.8,65,989
9,US,Avera,1586462773,33.19,-82.53,1,302.07,298.58,303.15,300.93,7.7,45,1006
10,AU,Busselton,1586462643,-33.65,115.33,70,292.69,289.99,293.71,290.93,5.2,66,1010
11,RU,Novaya Ladoga,1586462773,60.1,32.3,82,273.71,268.95,273.71,273.71,3.45,79,1003
12,US,Hilo,1586462773,19.73,-155.09,20,296.5,295.74,300.15,287.59,3.6,61,1016
13,RO,Călăţele,1586462774,46.77,23.02,0,285.26,281.37,285.37,285.15,2.1,34,1019
14,MY,Kota Belud,1586462550,6.35,116.43,20,299.1,303.75,299.26,298.71,1.5,88,1010
15,PF,Atuona,1586462774,-9.8,-139.03,53,301.32,302.98,301.32,301.32,5.72,77,1013
16,IR,Birjand,1586462774,32.87,59.22,75,286.15,283.11,286.15,286.15,3,62,1021
17,US,Saint Paul Harbor,1586462774,57.79,-152.41,1,275.15,270.26,275.15,275.15,3.1,55,1029
18,TO,Pangai,1586462775,-19.8,-174.35,32,299.14,298.99,299.14,299.14,6.5,76,1011
19,NZ,Bluff,1586462775,-46.6,168.33,82,280.37,279.07,280.37,280.37,0.45,90,1016
20,RO,Costineşti,1586462775,43.95,28.63,5,280.21,277.85,280.37,280.15,1.5,81,1018
21,GQ,Mongomo,1586462775,1.63,11.31,87,294.62,296.46,294.62,294.62,0.69,75,1011
22,SL,Bonthe,1586462775,7.53,-12.51,1,300.91,305.42,300.91,300.91,2.55,84,1011
23,AO,Mossamedes,1586462776,-15.2,12.15,0,298.06,295.4,298.06,298.06,5.49,50,1011
24,US,Graham,1586462776,47.05,-122.29,1,289.87,287.03,292.15,287.59,2.1,42,1021
25,AU,Mackay,1586462535,-21.15,149.2,75,294.92,295.77,295.93,293.71,4.6,94,1016
26,CA,Whitehorse,1586462777,60.72,-135.05,75,270.13,265.6,270.93,269.82,2.1,58,1020
27,PT,Lagoa,1586462777,39.05,-27.98,100,289.63,288.17,289.63,289.63,2.89,74,1022
28,SB,Gizo Government Station,1586462630,-8.1,156.84,18,301.04,303.82,301.04,301.04,4.43,80,1012
29,MY,George Town,1586462213,5.41,100.34,20,300.56,305.48,301.15,299.82,1.5,83,1010
30,ZA,Cape Town,1586462384,-33.93,18.42,98,288.51,287.66,290.37,287.04,1,67,1016
31,PT,Ponta do Sol,1586462778,32.67,-17.1,20,290.96,289.95,293.15,289.26,3.6,82,1021
32,RU,Aginskoye,1586462778,51.1,114.53,15,274.1,270.68,274.1,274.1,0.71,50,1031
33,PK,Kharan,1586462778,28.58,65.42,35,295.43,291.48,295.43,295.43,3.09,25,1016
34,TO,Vaini,1586462779,-21.2,-175.2,40,298.15,298.54,298.15,298.15,4.6,73,1011
35,CA,Bassano,1586462779,50.78,-112.47,88,280.78,276.28,281.48,280.37,3.13,49,1017
36,US,Sitka,1586462779,57.05,-135.33,75,278.15,272.89,278.15,278.15,4.1,56,1024
37,BR,Niquelândia,1586462780,-14.47,-48.46,26,298.82,301.16,298.82,298.82,1.32,67,1009
38,SJ,Longyearbyen,1586462780,78.22,15.64,40,260.15,252.64,260.15,260.15,5.7,65,1002
39,NZ,Tuatapere,1586462780,-46.13,167.68,78,280.37,279.07,280.37,280.37,0.45,90,1016
40,PF,Rikitea,1586462780,-23.12,-134.97,100,297.74,298.89,297.74,297.74,2.23,66,1016
41,CA,Torbay,1586462780,47.67,-52.73,20,275.89,267.76,277.04,274.82,7.2,37,1002
42,AU,New Norfolk,1586462781,-42.78,147.06,87,285.49,281.04,288.15,283.15,5.1,66,1012
43,CA,Yellowknife,1586462781,62.46,-114.35,90,267.1,260.97,267.15,267.04,4.6,85,1008
44,AU,Alice Springs,1586462781,-23.7,133.88,0,285.15,282.73,285.15,285.15,2.1,66,1021
45,CF,Kabo,1586462781,7.7,18.63,43,297.72,299.47,297.72,297.72,1.37,66,1012
46,NZ,Mataura,1586462781,-46.19,168.86,91,280.37,279.07,280.37,280.37,0.45,90,1016
47,AR,Ushuaia,1586462782,-54.8,-68.3,23,292.15,289.15,292.15,292.15,2.6,39,994
48,US,Ukiah,1586462782,39.15,-123.21,90,287.8,284.26,290.37,284.82,4.6,67,1017
49,VU,Isangel,1586462782,-19.55,169.27,20,293.15,291.83,293.15,293.15,6.5,94,1014
